Header Reference (BOM Reference),Stock Code,Description,Notes,Sequence Number,Quantity,Instruction,Unit of MEachsure,Scrap Percentage,Fixed Quantity,Use Only in BOM Module
ASSY-0000-00-Ped_Leaf,RAW-SHS-0004,SHS - 70x70x5mm - S355,,10,19.5178,,Metres,0,FALSE,FALSE
ASSY-0000-00-Ped_Leaf,RAW-RSC-0002,RSC - 76x38x6.7mm - S275,,20,6.167,,Metres,0,FALSE,FALSE
ASSY-0000-00-Ped_Leaf,FG-0112-FP,Seal Channel Capping Plate - 76x38 - 5mm,,30,2,,Each,0,FALSE,FALSE
ASSY-0000-00-Ped_Leaf,FG-0103-FP,M20 Lifting Eye Plate - 50x50 - 15mm,,40,2,,Each,0,FALSE,FALSE
ASSY-0000-00-Ped_Leaf,FG-0078-FP,Pedestrian Gate Leaf Locking Lug - 10mm,,50,4,,Each,0,FALSE,FALSE
ASSY-0000-00-Ped_Leaf,FG-0006-FP,70mm Gate Hinge Backing Plate - 12mm,,60,2,,Each,0,FALSE,FALSE
ASSY-0000-00-Ped_Leaf,RAW-SEAL-0001,62x27 Closed Cell EPDM with 2mm Neoprene Skin,,70,6.677,,Metres,0,FALSE,FALSE
ASSY-0000-00-Ped_Leaf,SA-FG-0015,70mm Pedestrian Flood Gate Lock Mechanism,,80,1,,Each,0,FALSE,FALSE
ASSY-0000-00-Ped_Leaf,FG-0071-MP,Pedestrian Gate Latch Nylon Bush,,90,2,,Each,0,FALSE,FALSE
ASSY-0000-00-Ped_Leaf,FG-0072-MP,Pedestrian Gate Latch Housing,,100,1,,Each,0,FALSE,FALSE
ASSY-0000-00-Ped_Leaf,PP-FIX-M6-0006,M6 Grease Nipple - A2,,110,1,,Each,0,FALSE,FALSE
ASSY-0000-00-Ped_Leaf,FG-0077-FP,Pedestrian Gate Handle Locking Lug - 10mm,,120,4,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,RAW-UC-0001,203UC46 - S355,,10,5.42,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,FG-0108-FP,UC Support Plate - 10 mm,,20,8,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,PP-FIX-M16-0026,M16x50 Hex Head Bolt - BZP,,30,16,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,PP-FIX-M16-0007,M16 Hex Nut - BZP,,40,16,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,PP-FIX-M16-0004,M16 Washer - BZP,,50,32,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,RAW-RSA-0004,RSA - 100x100x10mm - S275,,60,4.59,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,RAW-RSA-0003,RSA - 100x50x8mm - S275,,70,5,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,RAW-RHS-0007,RHS - 200x100x8mm - S355,,80,1.386,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,RAW-FB-0003,FB - 50x8mm - S275,,90,5.98,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,FG-0050-FP,Single Gate Jamb Box - 5mm,,100,1,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,FG-0049-FP,Single Gate Cradle Plate - 15mm,,110,2,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,PP-FIX-M20-0007,M20 Threaded Bar - A2,,120,8,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,PP-FIX-M20-0005,M20 Hex Nut - A2,,130,8,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,FG-0051-FP,Single Gate Jamb Cover Flap - 5mm,,140,1,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,FG-0053-FP,Single Gate Cover Locking Tab - 5mm,,150,1,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,FG-0106-FP,Anchor Plate - 80x80 - 10mm,,160,13,,Each,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,RAW-HINGE-0001,Piano Hinge - 4.7 OD x 51 x 2mm - SS304,,170,0.36,,Metres,0,FALSE,FALSE
ASSY-0000-00-SFG_Frame,PP-FIX-M6-0030,M6x16 Torx Button Head Bolt - A2,,180,4,,Each,0,FALSE,FALSE
